first_name,last_name,working_year
Susan,Baker,17
Bradley,Tran,18
Paul,Glover,10
Juan,Schmidt,23
Crystal,Ellis,20
Michelle,Martinez,26
Patricia,Santiago,24
Ashley,Ayers,6
Robert,Brown,24
Shawn,Goodwin,24
Jeffrey,Holland,25
James,Garcia,17
Blake,Ayers,17
Kevin,Mejia,3
David,Meadows,14
Ryan,Guzman,22
Tiffany,Pacheco,9
Ryan,Jones,6
Cynthia,Herring,9
Rebecca,Taylor,12
Amber,Hall,21
Gabriela,Beck,19
Amanda,Gonzalez,20
Jessica,Bender,13
Stacey,Harvey,30
Daniel,Leach,22
Suzanne,Williams,17
Rebecca,Hall,7
Zachary,Thompson,30
Erin,Berry,8
Leslie,Thomas,5
Caitlin,Wilkins,17
Bryan,Olson,28
Melissa,Levy,30
Morgan,Chang,20
Melissa,Singleton,10
Lisa,Smith,9
Roger,Rodriguez,17
Eric,Galloway,19
Kyle,Williams,28
Kim,Shaw,17
Kaylee,Lewis,12
Karen,Smith,28
Brenda,Zimmerman,16
Megan,Acevedo,18
Michelle,Carlson,17
Amber,Clark,21
Cody,Navarro,21
Gregory,Church,13
Tonya,Sims,24
